No,Date,O1,O2,O3,O4,O5,O6,R1,R2,R3,R4,R5,R6,B1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
21127,2021/11/7,29,15,20,16,27,7,7,15,16,20,27,29,7,114,19,34,4,2,2,2,1,3,3,0,5,8,1,1,22,8,0,2,3
21126,2021/11/4,28,27,19,23,31,20,19,20,23,27,28,31,1,148,24.67,28,4,2,2,1,0,6,0,6,6,4,2,2,12,4,1,4,3
21125,2021/11/2,31,19,14,23,20,24,14,19,20,23,24,31,9,131,21.83,21,3,3,0,0,0,5,1,4,5,7,2,2,17,7,0,0,3
21124,2021/10/31,18,1,3,22,32,29,1,3,18,22,29,32,2,105,17.5,25,3,3,0,1,1,4,2,2,5,10,0,0,31,15,1,1,2
21123,2021/10/28,31,19,15,14,6,29,6,14,15,19,29,31,5,114,19,34,4,2,2,3,1,3,3,0,5,10,1,1,25,10,0,1,4
21122,2021/10/26,4,12,28,18,5,15,4,5,12,15,18,28,7,82,13.67,32,2,4,-2,0,1,2,4,-2,4,7,1,1,24,10,3,3,3
21121,2021/10/24,4,22,12,16,5,30,4,5,12,16,22,30,15,89,14.83,19,1,5,-4,0,3,2,4,-2,5,8,1,1,26,8,0,1,1
21120,2021/10/21,12,8,18,7,13,1,1,7,8,12,13,18,5,59,9.83,29,3,3,0,1,1,1,5,-4,5,4,2,2,17,6,0,0,2
21119,2021/10/19,10,29,28,11,3,9,3,9,10,11,28,29,13,90,15,30,4,2,2,1,0,2,4,-2,5,6,3,2,26,17,0,0,1
21118,2021/10/17,2,18,31,6,20,14,2,6,14,18,20,31,13,91,15.17,21,1,5,-4,0,4,3,3,0,6,8,0,0,29,11,0,0,4
21117,2021/10/14,5,33,21,27,17,3,3,5,17,21,27,33,4,106,17.67,26,6,0,6,5,0,4,2,2,4,7,0,0,30,12,2,2,2
21116,2021/10/12,14,6,33,17,18,31,6,14,17,18,31,33,6,119,19.83,29,3,3,0,1,1,4,2,2,6,10,1,1,27,13,0,0,1
21115,2021/10/10,2,15,12,24,27,10,2,10,12,15,24,27,8,90,15,20,2,4,-2,0,2,2,4,-2,5,8,0,0,25,9,2,2,1
21114,2021/10/7,24,27,6,14,4,8,4,6,8,14,24,27,2,83,13.83,33,1,5,-4,0,4,2,4,-2,4,8,0,0,23,10,1,2,2
21113,2021/10/5,30,10,27,7,22,4,4,7,10,22,27,30,2,100,16.67,20,2,4,-2,0,1,3,3,0,4,6,0,0,26,12,0,0,4
21112,2021/9/30,5,28,25,21,6,33,5,6,21,25,28,33,7,118,19.67,28,4,2,2,1,0,4,2,2,5,10,1,1,28,15,0,1,2
21111,2021/9/28,23,22,20,17,26,28,17,20,22,23,26,28,6,136,22.67,26,2,4,-2,0,2,6,0,6,6,4,1,1,11,3,0,0,1
21110,2021/9/26,32,10,13,24,15,31,10,13,15,24,31,32,2,125,20.83,15,3,3,0,1,0,3,3,0,6,10,1,1,22,9,0,1,0
21109,2021/9/23,10,26,20,17,3,2,2,3,10,17,20,26,16,78,13,18,2,4,-2,0,1,3,3,0,5,9,1,1,24,7,0,1,2
21108,2021/9/21,26,32,15,11,24,18,11,15,18,24,26,32,9,126,21,26,2,4,-2,1,3,4,2,2,6,8,0,0,21,6,0,0,3
21107,2021/9/19,25,30,2,19,17,3,2,3,17,19,25,30,1,96,16,26,4,2,2,3,0,4,2,2,6,10,1,1,28,14,0,1,3
21106,2021/9/16,30,7,4,14,31,1,1,4,7,14,30,31,3,87,14.5,17,3,3,0,0,1,2,4,-2,4,9,1,1,30,16,0,1,2
21105,2021/9/14,10,22,15,32,14,27,10,14,15,22,27,32,9,120,20,20,2,4,-2,0,1,3,3,0,5,6,1,1,22,7,0,1,1
21104,2021/9/12,7,1,17,20,28,22,1,7,17,20,22,28,15,95,15.83,25,3,3,0,2,2,4,2,2,5,8,0,0,27,10,0,0,1
21103,2021/9/9,29,30,13,10,15,25,10,13,15,25,29,30,15,122,20.33,22,4,2,2,3,0,3,3,0,4,8,1,1,20,10,2,2,3
21102,2021/9/7,24,5,15,9,27,30,5,9,15,24,27,30,9,110,18.33,30,4,2,2,2,0,3,3,0,5,7,0,0,25,9,0,0,2
21101,2021/9/5,12,4,2,29,31,22,2,4,12,22,29,31,1,100,16.67,20,2,4,-2,1,3,3,3,0,4,7,0,0,29,10,1,2,1
21100,2021/9/2,9,7,14,12,29,13,7,9,12,13,14,29,16,84,14,34,4,2,2,1,0,1,5,-4,5,7,2,1,22,15,0,1,1
21099,2021/8/31,18,17,9,20,27,11,9,11,17,18,20,27,15,102,17,32,4,2,2,2,1,4,2,2,5,6,1,1,18,7,1,1,4
21098,2021/8/29,10,26,32,13,18,1,1,10,13,18,26,32,5,100,16.67,20,2,4,-2,0,2,3,3,0,6,9,0,0,31,9,0,1,3
21097,2021/8/26,3,25,11,13,12,28,3,11,12,13,25,28,12,92,15.33,22,4,2,2,2,0,2,4,-2,5,9,2,1,25,12,0,1,3
21096,2021/8/24,7,26,14,15,1,11,1,7,11,14,15,26,11,74,12.33,24,4,2,2,2,0,1,5,-4,5,9,1,1,25,11,0,0,3
21095,2021/8/22,27,28,17,24,12,8,8,12,17,24,27,28,13,116,19.33,36,2,4,-2,0,1,4,2,2,4,8,1,1,20,7,0,2,4
21094,2021/8/19,25,11,33,9,28,24,9,11,24,25,28,33,15,130,21.67,30,4,2,2,1,0,4,2,2,6,10,1,1,24,13,3,3,1
21093,2021/8/17,23,11,33,5,28,15,5,11,15,23,28,33,3,115,19.17,25,5,1,4,3,0,3,3,0,4,7,0,0,28,8,0,0,1
21092,2021/8/15,31,2,7,10,12,8,2,7,8,10,12,31,3,70,11.67,20,2,4,-2,0,2,1,5,-4,5,8,1,1,29,19,0,0,1
21091,2021/8/12,6,16,4,26,33,24,4,6,16,24,26,33,16,109,18.17,29,1,5,-4,0,4,3,3,0,3,7,0,0,29,10,1,1,3
21090,2021/8/10,12,27,14,28,5,6,5,6,12,14,27,28,8,92,15.33,32,2,4,-2,0,2,2,4,-2,6,8,2,2,23,13,0,0,3
21089,2021/8/8,7,1,24,23,2,13,1,2,7,13,23,24,12,70,11.67,20,4,2,2,2,0,2,4,-2,5,6,2,2,23,10,0,0,1
21088,2021/8/5,4,12,26,15,19,16,4,12,15,16,19,26,6,92,15.33,32,2,4,-2,0,1,2,4,-2,5,6,1,1,22,8,0,2,2
21087,2021/8/3,19,23,16,24,13,2,2,13,16,19,23,24,4,97,16.17,27,3,3,0,1,0,3,3,0,5,8,1,1,22,11,0,0,1
21086,2021/8/1,29,6,10,14,8,28,6,8,10,14,28,29,1,95,15.83,35,1,5,-4,0,4,2,4,-2,5,8,1,1,23,14,0,2,3
21085,2021/7/29,14,5,7,6,20,11,5,6,7,11,14,20,2,63,10.5,23,3,3,0,1,1,1,5,-4,6,7,2,1,15,6,2,3,2
21084,2021/7/27,5,21,7,28,11,9,5,7,9,11,21,28,1,81,13.5,31,5,1,4,4,0,2,4,-2,5,7,0,0,23,10,0,3,1
21083,2021/7/25,25,4,28,9,33,11,4,9,11,25,28,33,4,110,18.33,30,4,2,2,2,0,3,3,0,6,8,0,0,29,14,1,1,3
21082,2021/7/22,32,13,3,6,26,11,3,6,11,13,26,32,5,91,15.17,21,3,3,0,1,1,2,4,-2,4,10,0,0,29,13,0,1,1
21081,2021/7/20,5,3,1,18,22,23,1,3,5,18,22,23,1,72,12,22,4,2,2,2,1,3,3,0,5,7,1,1,22,13,0,3,2
21080,2021/7/18,5,8,23,29,24,22,5,8,22,23,24,29,9,111,18.5,31,3,3,0,0,1,4,2,2,6,9,2,1,24,14,1,2,2
21079,2021/7/15,10,1,29,3,28,24,1,3,10,24,28,29,13,95,15.83,25,3,3,0,1,2,3,3,0,6,10,1,1,28,14,0,0,2
21078,2021/7/13,15,27,4,26,31,6,4,6,15,26,27,31,12,109,18.17,29,3,3,0,1,1,3,3,0,5,9,1,1,27,11,1,2,2
21077,2021/7/11,27,17,30,8,25,15,8,15,17,25,27,30,10,122,20.33,32,4,2,2,3,0,4,2,2,4,8,0,0,22,8,0,1,1
21076,2021/7/8,30,21,32,9,23,3,3,9,21,23,30,32,6,118,19.67,18,4,2,2,3,1,4,2,2,5,8,0,0,29,12,0,1,3
21075,2021/7/6,15,21,16,12,29,22,12,15,16,21,22,29,1,115,19.17,25,3,3,0,0,0,3,3,0,5,7,2,2,17,7,0,0,1
21074,2021/7/4,9,25,4,27,5,14,4,5,9,14,25,27,7,84,14,34,4,2,2,2,0,2,4,-2,4,9,1,1,23,11,0,1,2
21073,2021/7/1,25,6,22,1,18,24,1,6,18,22,24,25,8,96,16,26,2,4,-2,0,3,4,2,2,6,10,1,1,24,12,1,1,2
21072,2021/6/29,15,21,1,16,19,9,1,9,15,16,19,21,15,81,13.5,31,5,1,4,3,0,2,4,-2,4,9,1,1,20,8,1,1,0
21071,2021/6/27,31,32,33,1,7,24,1,7,24,31,32,33,8,128,21.33,18,4,2,2,1,0,4,2,2,5,9,2,1,32,17,1,1,0
21070,2021/6/24,11,29,1,15,5,16,1,5,11,15,16,29,15,77,12.83,27,5,1,4,3,0,1,5,-4,4,7,1,1,28,13,0,1,1
21069,2021/6/22,26,11,6,23,20,18,6,11,18,20,23,26,5,104,17.33,24,2,4,-2,0,1,4,2,2,5,7,0,0,20,7,1,1,1
21068,2021/6/20,14,4,18,31,32,24,4,14,18,24,31,32,15,123,20.5,23,1,5,-4,0,3,4,2,2,4,8,1,1,28,10,0,0,2
21067,2021/6/17,19,23,25,11,1,29,1,11,19,23,25,29,9,108,18,28,6,0,6,5,0,4,2,2,4,6,0,0,28,10,1,1,3
21066,2021/6/15,6,30,26,33,2,19,2,6,19,26,30,33,15,116,19.33,26,2,4,-2,0,2,4,2,2,5,7,0,0,31,13,1,2,2
21065,2021/6/13,33,8,1,29,19,4,1,4,8,19,29,33,16,94,15.67,34,4,2,2,2,1,3,3,0,5,8,0,0,32,11,1,2,1
21064,2021/6/10,18,4,6,8,15,16,4,6,8,15,16,18,16,67,11.17,37,1,5,-4,0,3,1,5,-4,4,6,1,1,14,7,1,2,3
21063,2021/6/8,24,6,23,4,5,9,4,5,6,9,23,24,9,71,11.83,31,3,3,0,1,0,2,4,-2,5,6,3,2,20,14,0,0,2
21062,2021/6/6,12,25,20,15,22,13,12,13,15,20,22,25,10,107,17.83,17,3,3,0,1,1,3,3,0,4,5,1,1,13,5,0,2,2
21061,2021/6/3,9,4,20,23,18,12,4,9,12,18,20,23,1,86,14.33,26,2,4,-2,0,2,3,3,0,6,5,0,0,19,6,0,1,3
21060,2021/6/1,20,11,29,10,17,30,10,11,17,20,29,30,15,117,19.5,17,3,3,0,1,0,4,2,2,4,6,2,2,20,9,0,1,2
21059,2021/5/30,33,9,18,11,1,32,1,9,11,18,32,33,14,104,17.33,24,4,2,2,2,1,3,3,0,5,10,1,1,32,14,1,3,1
21058,2021/5/27,11,13,28,19,9,18,9,11,13,18,19,28,14,98,16.33,38,4,2,2,2,0,3,3,0,4,7,1,1,19,9,0,1,1
21057,2021/5/25,6,5,17,25,33,9,5,6,9,17,25,33,16,95,15.83,35,5,1,4,3,0,3,3,0,5,7,1,1,28,8,0,0,2
21056,2021/5/23,8,29,21,32,23,22,8,21,22,23,29,32,1,135,22.5,25,3,3,0,1,0,5,1,4,5,9,2,1,24,13,0,1,3
21055,2021/5/20,12,3,11,28,16,22,3,11,12,16,22,28,10,92,15.33,22,2,4,-2,1,3,2,4,-2,5,9,1,1,25,8,0,1,2
21054,2021/5/18,13,22,7,31,21,24,7,13,21,22,24,31,2,118,19.67,18,4,2,2,2,1,4,2,2,5,9,1,1,24,8,2,2,1
21053,2021/5/16,7,16,33,14,10,24,7,10,14,16,24,33,16,104,17.33,24,2,4,-2,0,3,2,4,-2,5,8,0,0,26,9,0,0,1
21052,2021/5/13,4,30,3,6,21,19,3,4,6,19,21,30,14,83,13.83,23,3,3,0,1,1,3,3,0,6,8,1,1,27,13,1,1,1
21051,2021/5/11,8,29,10,19,9,27,8,9,10,19,27,29,15,102,17,42,4,2,2,2,0,3,3,0,4,6,2,1,21,9,2,2,5
21050,2021/5/9,2,16,9,25,10,28,2,9,10,16,25,28,8,90,15,30,2,4,-2,0,1,2,4,-2,6,9,1,1,26,9,1,1,1
21049,2021/5/6,4,25,32,13,22,11,4,11,13,22,25,32,1,107,17.83,17,3,3,0,1,0,3,3,0,5,7,0,0,28,9,3,3,0
21048,2021/5/4,22,4,32,15,17,29,4,15,17,22,29,32,3,119,19.83,29,3,3,0,1,0,4,2,2,5,9,0,0,28,11,0,1,3
21047,2021/5/2,13,3,29,16,24,7,3,7,13,16,24,29,1,92,15.33,32,4,2,2,2,1,2,4,-2,5,9,0,0,26,8,1,1,1
21046,2021/4/29,9,13,5,28,21,33,5,9,13,21,28,33,6,109,18.17,29,5,1,4,3,0,3,3,0,5,7,0,0,28,8,0,0,3
21045,2021/4/27,15,14,4,17,32,1,1,4,14,15,17,32,2,83,13.83,23,3,3,0,1,1,2,4,-2,5,8,1,1,31,15,1,2,2
21044,2021/4/25,17,7,26,28,5,14,5,7,14,17,26,28,13,97,16.17,37,3,3,0,1,1,3,3,0,5,6,0,0,23,9,0,1,1
21043,2021/4/22,17,24,18,23,2,3,2,3,17,18,23,24,1,87,14.5,27,3,3,0,1,0,4,2,2,5,5,3,3,22,14,0,0,2
21042,2021/4/20,5,27,22,10,9,25,5,9,10,22,25,27,8,98,16.33,28,4,2,2,2,1,3,3,0,5,8,1,1,22,12,1,1,4
21041,2021/4/18,32,18,9,2,23,26,2,9,18,23,26,32,14,110,18.33,30,2,4,-2,0,1,4,2,2,5,8,0,0,30,9,1,1,1
21040,2021/4/15,2,7,6,24,28,29,2,6,7,24,28,29,16,96,16,36,2,4,-2,0,2,3,3,0,6,5,2,2,27,17,2,3,2
21039,2021/4/13,21,24,31,2,29,8,2,8,21,24,29,31,13,115,19.17,25,3,3,0,1,1,4,2,2,5,10,0,0,29,13,0,0,1
21038,2021/4/11,7,9,5,27,16,18,5,7,9,16,18,27,6,82,13.67,42,4,2,2,2,1,2,4,-2,5,4,0,0,22,9,0,0,3
21037,2021/4/8,24,13,26,19,30,17,13,17,19,24,26,30,12,129,21.5,29,3,3,0,2,2,5,1,4,6,4,0,0,17,5,0,1,0
21036,2021/4/6,1,26,2,11,21,6,1,2,6,11,21,26,11,67,11.17,17,3,3,0,1,1,2,4,-2,3,5,1,1,25,10,0,1,2
21035,2021/4/4,26,14,20,18,28,12,12,14,18,20,26,28,11,118,19.67,28,0,6,-6,0,5,4,2,2,5,3,0,0,16,6,0,2,1
21034,2021/4/1,18,12,23,25,4,10,4,10,12,18,23,25,1,92,15.33,22,2,4,-2,1,3,3,3,0,6,6,0,0,21,6,0,1,1
21033,2021/3/30,33,12,31,2,13,14,2,12,13,14,31,33,6,105,17.5,15,3,3,0,1,1,2,4,-2,4,7,2,1,31,17,0,0,3
21032,2021/3/28,30,5,16,1,15,8,1,5,8,15,16,30,3,75,12.5,25,3,3,0,1,1,1,5,-4,5,7,1,1,29,14,0,0,2
21031,2021/3/25,28,11,6,31,25,21,6,11,21,25,28,31,7,122,20.33,22,4,2,2,2,0,4,2,2,4,8,0,0,25,10,1,1,1
21030,2021/3/23,29,13,27,8,31,9,8,9,13,27,29,31,5,117,19.5,37,5,1,4,4,0,3,3,0,5,7,1,1,23,14,1,1,3
21029,2021/3/21,8,15,30,22,17,10,8,10,15,17,22,30,12,102,17,22,2,4,-2,1,2,3,3,0,5,6,0,0,22,8,0,0,4
21028,2021/3/18,23,27,26,16,11,33,11,16,23,26,27,33,5,136,22.67,26,4,2,2,1,0,4,2,2,4,8,1,1,22,7,0,2,1
21027,2021/3/16,5,7,16,20,9,26,5,7,9,16,20,26,8,83,13.83,33,3,3,0,2,2,2,4,-2,5,7,0,0,21,7,1,2,2
21026,2021/3/14,20,19,5,3,13,25,3,5,13,19,20,25,3,85,14.17,25,5,1,4,3,0,3,3,0,4,9,1,1,22,8,0,0,3
21025,2021/3/11,17,18,14,8,6,30,6,8,14,17,18,30,11,93,15.5,33,1,5,-4,0,3,3,3,0,5,9,1,1,24,12,0,2,1
21024,2021/3/9,6,4,10,11,18,1,1,4,6,10,11,18,2,50,8.33,20,2,4,-2,0,2,1,5,-4,5,8,1,1,17,7,0,0,1
21023,2021/3/7,21,22,27,23,2,28,2,21,22,23,27,28,11,123,20.5,23,3,3,0,1,0,5,1,4,5,6,3,2,26,19,0,0,0
21022,2021/3/4,32,10,31,25,15,17,10,15,17,25,31,32,6,130,21.67,20,4,2,2,3,0,4,2,2,5,8,1,1,22,8,1,1,2
21021,2021/3/2,17,28,4,24,8,33,4,8,17,24,28,33,13,114,19,34,2,4,-2,0,2,4,2,2,4,6,0,0,29,9,0,0,2
21020,2021/2/28,9,3,1,11,7,6,1,3,6,7,9,11,2,37,6.17,27,5,1,4,3,0,0,6,-6,5,3,1,1,10,3,0,0,1
21019,2021/2/25,12,29,17,24,16,28,12,16,17,24,28,29,8,126,21,36,2,4,-2,0,2,4,2,2,6,5,2,2,17,7,0,0,1
21018,2021/2/23,32,25,2,8,14,23,2,8,14,23,25,32,6,104,17.33,24,2,4,-2,1,2,3,3,0,5,8,0,0,30,9,0,1,3
21017,2021/2/21,9,33,15,18,32,29,9,15,18,29,32,33,2,136,22.67,36,4,2,2,1,0,4,2,2,5,8,1,1,24,11,0,3,1
21016,2021/2/7,8,3,18,15,13,9,3,8,9,13,15,18,10,66,11,36,4,2,2,2,0,1,5,-4,4,6,1,1,15,5,0,0,2
21015,2021/2/4,14,6,29,26,16,28,6,14,16,26,28,29,7,119,19.83,39,1,5,-4,0,4,3,3,0,4,7,1,1,23,10,0,1,4
21014,2021/2/2,4,25,29,21,33,15,4,15,21,25,29,33,6,127,21.17,27,5,1,4,4,0,4,2,2,5,7,0,0,29,11,0,0,1
21013,2021/1/31,27,6,9,31,12,16,6,9,12,16,27,31,6,101,16.83,31,3,3,0,1,1,2,4,-2,5,7,0,0,25,11,0,1,1
21012,2021/1/28,26,18,6,20,14,3,3,6,14,18,20,26,1,87,14.5,27,1,5,-4,0,4,3,3,0,5,7,0,0,23,8,0,0,2
21011,2021/1/26,23,33,16,27,5,10,5,10,16,23,27,33,14,114,19,24,4,2,2,2,1,3,3,0,5,7,0,0,28,7,1,1,3
21010,2021/1/24,33,11,1,19,4,32,1,4,11,19,32,33,5,100,16.67,20,4,2,2,1,0,3,3,0,5,10,1,1,32,13,1,2,2
21009,2021/1/21,2,4,25,32,24,7,2,4,7,24,25,32,13,94,15.67,24,2,4,-2,0,1,3,3,0,4,10,1,1,30,17,1,1,3
21008,2021/1/19,7,14,18,1,33,5,1,5,7,14,18,33,7,78,13,28,4,2,2,2,1,2,4,-2,6,8,0,0,32,15,0,0,3
21007,2021/1/17,2,4,25,12,32,21,2,4,12,21,25,32,16,96,16,16,2,4,-2,1,2,3,3,0,4,10,0,0,30,9,1,1,2
21006,2021/1/14,22,25,26,6,24,8,6,8,22,24,25,26,1,111,18.5,31,1,5,-4,0,3,4,2,2,5,5,2,1,20,14,0,1,3
21005,2021/1/12,14,7,9,30,26,31,7,9,14,26,30,31,4,117,19.5,27,3,3,0,1,2,3,3,0,6,8,1,1,24,12,0,1,2
21004,2021/1/10,8,2,7,22,3,17,2,3,7,8,17,22,15,59,9.83,29,3,3,0,1,0,2,4,-2,4,5,2,2,20,9,0,1,3
21003,2021/1/7,22,16,29,6,18,9,6,9,16,18,22,29,11,100,16.67,40,2,4,-2,0,2,3,3,0,4,8,0,0,23,7,1,1,1
21002,2021/1/5,10,32,25,6,26,13,6,10,13,25,26,32,11,112,18.67,22,2,4,-2,1,2,3,3,0,5,8,1,1,26,12,1,1,1
21001,2021/1/3,13,18,2,20,3,31,2,3,13,18,20,31,11,87,14.5,17,3,3,0,1,1,3,3,0,5,8,1,1,29,11,1,2,1
20134,2020/12/31,9,10,22,2,20,26,2,9,10,20,22,26,1,89,14.83,19,1,5,-4,0,3,3,3,0,4,10,1,1,24,10,0,1,4
20133,2020/12/29,23,3,27,19,22,29,3,19,22,23,27,29,7,123,20.5,33,5,1,4,3,0,5,1,4,4,9,1,1,26,16,0,1,2
20132,2020/12/27,12,14,1,23,11,4,1,4,11,12,14,23,4,65,10.83,15,3,3,0,0,1,1,5,-4,4,7,1,1,22,9,0,0,1
20131,2020/12/24,19,8,22,30,27,26,8,19,22,26,27,30,7,132,22,32,2,4,-2,0,1,5,1,4,6,6,1,1,22,11,1,1,2
20130,2020/12/22,9,11,14,8,29,17,8,9,11,14,17,29,16,88,14.67,38,4,2,2,2,0,2,4,-2,5,7,1,1,21,12,0,0,2
20129,2020/12/20,15,1,2,33,28,5,1,2,5,15,28,33,4,84,14,24,4,2,2,1,0,2,4,-2,5,9,1,1,32,13,0,1,1
20128,2020/12/17,23,16,26,8,15,10,8,10,15,16,23,26,10,98,16.33,28,2,4,-2,0,1,2,4,-2,5,8,1,1,18,7,0,1,0
20127,2020/12/15,1,26,18,19,4,31,1,4,18,19,26,31,7,99,16.5,29,3,3,0,0,1,4,2,2,5,10,1,1,30,14,0,0,1
20126,2020/12/13,14,7,28,23,3,12,3,7,12,14,23,28,11,87,14.5,27,3,3,0,1,1,2,4,-2,5,6,0,0,25,9,0,1,0
20125,2020/12/10,30,12,16,26,5,31,5,12,16,26,30,31,13,120,20,20,2,4,-2,0,3,3,3,0,5,8,1,1,26,10,0,1,1
20124,2020/12/8,33,29,19,20,18,16,16,18,19,20,29,33,12,135,22.5,35,3,3,0,1,1,5,1,4,5,6,2,1,17,9,0,3,3
20123,2020/12/6,19,29,18,26,1,3,1,3,18,19,26,29,3,96,16,36,4,2,2,1,0,4,2,2,5,10,1,1,28,15,1,1,1
20122,2020/12/3,26,17,12,24,31,15,12,15,17,24,26,31,15,125,20.83,25,3,3,0,1,1,4,2,2,6,5,0,0,19,7,0,0,2
20121,2020/12/1,4,2,21,6,25,29,2,4,6,21,25,29,3,87,14.5,27,3,3,0,2,2,3,3,0,6,5,0,0,27,15,0,2,2
20120,2020/11/29,10,4,2,3,1,9,1,2,3,4,9,10,12,29,4.83,19,3,3,0,0,0,0,6,-6,6,3,4,2,9,5,1,2,2
20119,2020/11/26,33,1,28,9,22,32,1,9,22,28,32,33,15,125,20.83,25,3,3,0,1,2,4,2,2,5,10,1,1,32,13,1,1,1
20118,2020/11/24,26,11,30,19,13,33,11,13,19,26,30,33,5,132,22,22,4,2,2,2,1,4,2,2,5,9,0,0,22,7,0,0,2
20117,2020/11/22,9,16,7,10,8,27,7,8,9,10,16,27,7,77,12.83,37,3,3,0,0,1,1,5,-4,5,7,3,1,20,11,1,2,1
20116,2020/11/19,5,6,27,14,16,19,5,6,14,16,19,27,10,87,14.5,37,3,3,0,1,2,2,4,-2,5,7,1,1,22,8,0,0,2
20115,2020/11/17,20,32,25,12,4,1,1,4,12,20,25,32,2,94,15.67,14,2,4,-2,0,2,3,3,0,5,9,0,0,31,8,2,2,3
20114,2020/11/15,24,30,32,1,5,11,1,5,11,24,30,32,3,103,17.17,13,3,3,0,2,2,3,3,0,5,8,0,0,31,13,2,2,1
20113,2020/11/12,22,32,7,3,10,1,1,3,7,10,22,32,11,75,12.5,15,3,3,0,2,2,2,4,-2,5,10,0,0,31,12,1,1,3
20112,2020/11/10,2,28,12,32,9,17,2,9,12,17,28,32,5,100,16.67,30,2,4,-2,0,1,3,3,0,4,9,0,0,30,11,1,2,0
20111,2020/11/8,17,6,22,24,26,9,6,9,17,22,24,26,16,104,17.33,34,2,4,-2,1,2,4,2,2,5,9,0,0,20,8,0,3,2
20110,2020/11/5,25,14,6,2,22,9,2,6,9,14,22,25,4,78,13,28,2,4,-2,0,2,2,4,-2,5,7,0,0,23,8,0,1,2
20109,2020/11/3,6,13,16,20,23,32,6,13,16,20,23,32,13,110,18.33,20,2,4,-2,0,1,3,3,0,4,6,0,0,26,9,2,2,2
20108,2020/11/1,32,15,17,12,10,23,10,12,15,17,23,32,5,109,18.17,19,3,3,0,2,1,3,3,0,5,8,0,0,22,9,0,0,3
20107,2020/10/29,3,9,11,25,24,28,3,9,11,24,25,28,16,100,16.67,30,4,2,2,2,0,3,3,0,6,10,1,1,25,13,2,2,1
20106,2020/10/27,15,4,2,28,18,11,2,4,11,15,18,28,10,78,13,28,2,4,-2,1,2,2,4,-2,5,8,0,0,26,10,0,0,2
20105,2020/10/25,19,6,20,24,14,22,6,14,19,20,22,24,1,105,17.5,25,1,5,-4,0,3,4,2,2,5,7,1,1,18,8,0,0,0
20104,2020/10/22,4,10,27,16,8,29,4,8,10,16,27,29,9,94,15.67,34,2,4,-2,1,3,2,4,-2,6,7,0,0,25,11,2,2,4
20103,2020/10/20,9,32,4,22,28,10,4,9,10,22,28,32,8,105,17.5,25,1,5,-4,0,3,3,3,0,5,8,1,1,28,12,0,2,3
20102,2020/10/18,29,9,25,10,19,26,9,10,19,25,26,29,8,118,19.67,38,4,2,2,1,0,4,2,2,4,7,2,2,20,9,1,2,4
20101,2020/10/15,28,25,10,17,24,30,10,17,24,25,28,30,15,134,22.33,24,2,4,-2,0,1,5,1,4,5,9,1,1,20,7,0,0,2
20100,2020/10/13,7,15,1,16,23,20,1,7,15,16,20,23,7,82,13.67,22,4,2,2,2,1,2,4,-2,6,9,1,1,22,8,0,1,2
20099,2020/10/11,5,6,30,15,12,11,5,6,11,12,15,30,12,79,13.17,19,3,3,0,0,0,1,5,-4,5,8,2,2,25,15,1,2,2
20098,2020/10/8,6,33,8,11,25,22,6,8,11,22,25,33,2,105,17.5,25,3,3,0,1,1,3,3,0,6,7,0,0,27,11,1,2,2
20097,2020/10/6,8,30,26,25,21,2,2,8,21,25,26,30,10,112,18.67,22,2,4,-2,1,2,4,2,2,6,8,1,1,28,13,0,1,4
20096,2020/9/29,26,27,20,32,23,1,1,20,23,26,27,32,15,129,21.5,19,3,3,0,0,0,5,1,4,6,8,1,1,31,19,0,2,1
20095,2020/9/27,26,9,3,17,20,16,3,9,16,17,20,26,2,91,15.17,31,3,3,0,1,1,3,3,0,5,8,1,1,23,7,0,1,3
20094,2020/9/24,31,29,17,27,10,15,10,15,17,27,29,31,8,129,21.5,29,5,1,4,4,0,4,2,2,5,6,0,0,21,10,0,2,0
20093,2020/9/22,4,19,15,10,5,13,4,5,10,13,15,19,15,66,11,26,4,2,2,2,0,1,5,-4,5,7,1,1,15,5,0,0,3
20092,2020/9/20,18,12,1,24,6,22,1,6,12,18,22,24,3,83,13.83,23,1,5,-4,0,4,3,3,0,5,7,0,0,23,6,1,2,2
20091,2020/9/17,19,11,12,9,16,1,1,9,11,12,16,19,16,68,11.33,28,4,2,2,2,1,1,5,-4,4,6,1,1,18,8,0,0,1
20090,2020/9/15,31,26,23,2,32,21,2,21,23,26,31,32,6,135,22.5,15,3,3,0,1,0,5,1,4,4,9,1,1,30,19,1,2,1
20089,2020/9/13,21,30,16,2,29,14,2,14,16,21,29,30,10,112,18.67,22,2,4,-2,1,2,3,3,0,6,9,1,1,28,12,2,2,3
20088,2020/9/10,26,12,29,1,30,6,1,6,12,26,29,30,12,104,17.33,24,2,4,-2,0,2,3,3,0,5,10,1,1,29,14,0,0,2
20087,2020/9/8,33,23,15,20,25,11,11,15,20,23,25,33,10,127,21.17,17,5,1,4,3,0,4,2,2,4,7,0,0,22,8,0,1,2
20086,2020/9/6,24,2,27,6,15,4,2,4,6,15,24,27,6,78,13,28,2,4,-2,0,2,2,4,-2,5,8,0,0,25,9,0,2,3
