No,Date,O1,O2,O3,O4,O5,R1,R2,R3,R4,R5,B1,B2,和值,平均值,尾数和值 ,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
12054,2012/5/12,30,27,18,16,1,1,16,18,27,30,10,11,92,18.4,22,2,3,-1,0,1,3,2,1,5,6,0,0,29,15,0,0,2
12055,2012/5/14,26,22,32,7,33,7,22,26,32,33,1,8,120,24,20,2,3,-1,0,2,4,1,3,4,6,1,1,26,15,0,0,1
12056,2012/5/16,23,26,21,34,11,11,21,23,26,34,7,9,115,23,15,3,2,1,2,1,4,1,3,4,6,0,0,23,10,0,1,3
12057,2012/5/19,2,1,34,14,33,1,2,14,33,34,3,5,84,16.8,14,2,3,-1,0,1,2,3,-1,4,4,2,2,33,19,1,1,1
12058,2012/5/21,13,21,31,29,35,13,21,29,31,35,4,12,129,25.8,19,5,0,5,4,0,4,1,3,4,5,0,0,22,8,0,0,2
12059,2012/5/23,9,19,27,21,13,9,13,19,21,27,3,4,89,17.8,29,5,0,5,4,0,3,2,1,4,4,0,0,18,6,0,2,0
12060,2012/5/26,21,16,2,24,30,2,16,21,24,30,6,10,93,18.6,13,1,4,-3,0,2,3,2,1,5,5,0,0,28,14,0,1,0
12061,2012/5/28,27,33,5,10,14,5,10,14,27,33,7,9,89,17.8,19,3,2,1,1,1,2,3,-1,5,6,0,0,28,13,0,0,0
12062,2012/5/30,32,35,21,33,34,21,32,33,34,35,8,9,155,31,15,3,2,1,0,0,5,0,5,5,3,3,1,14,11,0,1,2
12063,2012/6/2,35,26,29,11,25,11,25,26,29,35,1,2,126,25.2,26,4,1,3,2,0,4,1,3,4,6,1,1,24,14,1,1,1
12064,2012/6/4,30,9,12,15,13,9,12,13,15,30,9,10,79,15.8,19,3,2,1,1,0,1,4,-3,5,5,1,1,21,15,0,0,2
12065,2012/6/6,28,29,10,34,22,10,22,28,29,34,5,11,123,24.6,23,1,4,-3,0,2,4,1,3,5,4,1,1,24,12,0,0,2
12066,2012/6/9,25,20,33,29,1,1,20,25,29,33,4,6,108,21.6,18,4,1,3,2,0,4,1,3,5,5,0,0,32,19,1,1,2
12067,2012/6/11,27,30,22,20,33,20,22,27,30,33,1,2,132,26.4,12,2,3,-1,0,1,5,0,5,4,5,0,0,13,5,1,2,1
12068,2012/6/13,35,31,21,1,32,1,21,31,32,35,3,6,120,24,10,4,1,3,2,0,4,1,3,3,6,1,1,34,20,0,0,3
12069,2012/6/16,34,4,25,2,22,2,4,22,25,34,2,11,87,17.4,17,1,4,-3,0,2,3,2,1,3,6,0,0,32,18,0,0,3
12070,2012/6/18,32,34,22,9,23,9,22,23,32,34,6,8,120,24,20,2,3,-1,0,1,4,1,3,4,6,1,1,25,13,1,2,1
12071,2012/6/20,31,29,34,23,13,13,23,29,31,34,6,8,130,26,20,4,1,3,3,0,4,1,3,4,6,0,0,21,10,1,2,2
12072,2012/6/23,8,4,25,22,17,4,8,17,22,25,4,10,76,15.2,26,2,3,-1,0,1,2,3,-1,5,6,0,0,21,9,0,0,1
12073,2012/6/25,23,29,18,34,33,18,23,29,33,34,2,7,137,27.4,27,3,2,1,2,0,5,0,5,4,4,1,1,16,6,0,0,2
12074,2012/6/27,22,32,23,10,30,10,22,23,30,32,1,7,117,23.4,7,1,4,-3,0,2,4,1,3,3,6,1,1,22,12,0,1,3
12075,2012/6/30,18,10,7,22,9,7,9,10,18,22,5,10,66,13.2,26,2,3,-1,1,2,2,3,-1,5,6,1,1,15,8,0,2,2
12076,2012/7/2,2,22,24,14,16,2,14,16,22,24,2,5,78,15.6,18,0,5,-5,0,4,2,3,-1,3,4,0,0,22,12,0,1,0
12077,2012/7/4,32,34,10,30,33,10,30,32,33,34,2,3,139,27.8,9,1,4,-3,0,2,4,1,3,4,4,2,1,24,20,0,0,0
12078,2012/7/7,1,25,23,2,35,1,2,23,25,35,5,12,86,17.2,16,4,1,3,2,0,3,2,1,4,6,1,1,34,21,0,0,1
12079,2012/7/9,1,33,5,32,25,1,5,25,32,33,1,10,96,19.2,16,4,1,3,2,0,3,2,1,4,6,1,1,32,20,1,2,1
12080,2012/7/11,11,12,14,25,28,11,12,14,25,28,2,5,90,18,20,2,3,-1,0,1,2,3,-1,5,4,1,1,17,11,0,1,0
12081,2012/7/14,17,35,30,10,16,10,16,17,30,35,1,8,108,21.6,18,2,3,-1,0,1,2,3,-1,4,6,1,1,25,13,0,0,1
12082,2012/7/16,2,9,15,4,10,2,4,9,10,15,8,10,40,8,20,2,3,-1,0,1,0,5,-5,5,4,1,1,13,5,0,1,2
12083,2012/7/18,28,31,29,19,16,16,19,28,29,31,5,8,123,24.6,33,3,2,1,1,0,4,1,3,4,4,1,1,15,9,0,0,1
12084,2012/7/21,29,27,21,24,31,21,24,27,29,31,1,2,132,26.4,22,4,1,3,2,0,5,0,5,4,4,0,0,10,3,2,2,2
12085,2012/7/23,33,31,29,18,7,7,18,29,31,33,10,12,118,23.6,28,4,1,3,2,0,4,1,3,5,4,0,0,26,11,0,2,0
12086,2012/7/25,32,20,25,29,3,3,20,25,29,32,5,10,109,21.8,19,3,2,1,1,0,4,1,3,5,6,0,0,29,17,0,1,1
12087,2012/7/28,1,31,21,6,7,1,6,7,21,31,4,11,66,13.2,16,4,1,3,2,0,2,3,-1,3,6,1,1,30,14,0,0,2
12088,2012/7/30,17,30,13,35,24,13,17,24,30,35,2,10,119,23.8,19,3,2,1,1,1,3,2,1,5,5,0,0,22,7,0,0,1
12089,2012/8/1,6,29,12,21,32,6,12,21,29,32,6,11,100,20,20,2,3,-1,1,1,3,2,1,4,6,0,0,26,9,0,0,2
12090,2012/8/4,2,21,29,33,27,2,21,27,29,33,2,10,112,22.4,22,4,1,3,3,0,4,1,3,5,5,0,0,31,19,1,2,1
12091,2012/8/6,3,10,28,33,31,3,10,28,31,33,1,9,105,21,15,3,2,1,1,1,3,2,1,4,6,0,0,30,18,1,1,2
12092,2012/8/8,31,8,9,23,25,8,9,23,25,31,2,12,96,19.2,26,4,1,3,3,0,3,2,1,5,6,1,1,23,14,0,1,1
12093,2012/8/11,16,2,31,21,33,2,16,21,31,33,4,11,103,20.6,13,3,2,1,2,1,3,2,1,4,6,0,0,31,14,0,1,0
12094,2012/8/13,14,35,32,23,2,2,14,23,32,35,1,10,106,21.2,16,2,3,-1,0,1,3,2,1,4,3,0,0,33,12,1,1,1
12095,2012/8/15,22,6,30,27,9,6,9,22,27,30,8,12,94,18.8,24,2,3,-1,0,0,3,2,1,5,4,0,0,24,13,0,0,1
12096,2012/8/18,5,24,10,19,35,5,10,19,24,35,8,9,93,18.6,23,3,2,1,0,0,3,2,1,4,4,0,0,30,11,0,0,2
12097,2012/8/20,29,24,17,32,9,9,17,24,29,32,1,2,111,22.2,31,3,2,1,1,0,3,2,1,4,4,0,0,23,8,0,1,1
12098,2012/8/22,28,29,30,11,2,2,11,28,29,30,6,12,100,20,20,2,3,-1,0,0,3,2,1,5,5,2,1,28,17,1,1,2
12099,2012/8/25,24,12,18,25,32,12,18,24,25,32,2,12,111,22.2,21,1,4,-3,0,2,4,1,3,4,4,1,1,20,7,0,0,1
12100,2012/8/27,27,7,19,13,9,7,9,13,19,27,1,3,75,15,35,5,0,5,4,0,2,3,-1,3,5,0,0,20,8,0,0,2
12101,2012/8/29,31,2,9,8,5,2,5,8,9,31,3,7,55,11,25,3,2,1,1,0,1,4,-3,5,5,1,1,29,22,0,1,1
12102,2012/9/1,6,35,2,4,13,2,4,6,13,35,4,8,60,12,20,2,3,-1,1,2,1,4,-3,5,5,0,0,33,22,1,1,2
12103,2012/9/3,9,23,2,24,18,2,9,18,23,24,1,4,76,15.2,26,2,3,-1,0,0,3,2,1,5,6,1,1,22,9,1,1,0
12104,2012/9/5,25,24,27,16,18,16,18,24,25,27,4,9,110,22,30,2,3,-1,1,2,4,1,3,5,4,1,1,11,6,0,2,2
12105,2012/9/8,5,15,31,14,6,5,6,14,15,31,6,8,71,14.2,21,3,2,1,1,1,1,4,-3,4,4,2,2,26,16,0,0,1
12106,2012/9/10,29,25,23,15,31,15,23,25,29,31,9,10,123,24.6,23,5,0,5,4,0,4,1,3,4,3,0,0,16,8,1,2,1
12107,2012/9/12,9,22,4,7,33,4,7,9,22,33,1,3,75,15,25,3,2,1,1,0,2,3,-1,5,6,0,0,29,13,0,0,1
12108,2012/9/15,35,6,7,24,12,6,7,12,24,35,2,6,84,16.8,24,2,3,-1,0,1,2,3,-1,5,6,1,1,29,12,1,1,1
12109,2012/9/17,35,1,32,30,22,1,22,30,32,35,9,11,120,24,10,2,3,-1,0,2,4,1,3,4,6,0,0,34,21,1,1,0
12110,2012/9/19,1,26,11,17,19,1,11,17,19,26,5,12,74,14.8,24,4,1,3,3,0,2,3,-1,4,6,0,0,25,10,1,1,0
12111,2012/9/22,25,33,30,1,24,1,24,25,30,33,4,11,113,22.6,13,3,2,1,0,0,4,1,3,5,6,1,1,32,23,1,1,1
12112,2012/9/24,1,28,31,35,2,1,2,28,31,35,5,7,97,19.4,17,3,2,1,1,1,3,2,1,4,6,1,1,34,26,1,1,2
12113,2012/9/26,3,10,27,22,29,3,10,22,27,29,3,12,91,18.2,21,3,2,1,1,1,3,2,1,5,4,0,0,26,12,0,0,3
12114,2012/9/29,35,3,21,6,33,3,6,21,33,35,1,7,98,19.6,18,4,1,3,2,0,3,2,1,4,6,0,0,32,15,1,1,1
12115,2012/10/1,23,13,6,19,1,1,6,13,19,23,6,9,62,12.4,22,4,1,3,2,0,2,3,-1,4,6,0,0,22,7,1,1,0
12116,2012/10/3,1,18,11,20,22,1,11,18,20,22,7,10,72,14.4,12,2,3,-1,1,2,3,2,1,4,5,0,0,21,10,1,1,3
12117,2012/10/6,33,18,1,21,12,1,12,18,21,33,7,8,85,17,15,3,2,1,1,1,3,2,1,4,6,0,0,32,12,2,2,2
12118,2012/10/8,25,30,17,5,33,5,17,25,30,33,1,12,110,22,20,4,1,3,2,0,3,2,1,4,5,0,0,28,12,1,1,1
12119,2012/10/10,19,5,32,9,6,5,6,9,19,32,6,9,71,14.2,31,3,2,1,1,0,2,3,-1,4,5,1,1,27,13,1,1,2
12120,2012/10/13,2,23,29,10,21,2,10,21,23,29,3,4,85,17,15,3,2,1,2,1,3,2,1,5,4,0,0,27,11,0,0,1
12121,2012/10/15,18,30,20,29,7,7,18,20,29,30,5,6,104,20.8,24,2,3,-1,0,1,4,1,3,4,5,1,1,23,11,0,1,2
12122,2012/10/17,31,29,25,24,23,23,24,25,29,31,3,12,132,26.4,22,4,1,3,2,0,5,0,5,5,3,2,1,8,4,1,1,2
12123,2012/10/20,8,5,18,30,33,5,8,18,30,33,1,9,94,18.8,24,2,3,-1,0,2,3,2,1,4,4,0,0,28,12,0,0,1
12124,2012/10/22,19,11,20,7,35,7,11,19,20,35,5,10,92,18.4,22,4,1,3,2,0,3,2,1,5,6,1,1,28,15,0,0,2
12125,2012/10/24,22,6,14,17,35,6,14,17,22,35,1,2,94,18.8,24,2,3,-1,0,1,2,3,-1,5,5,0,0,29,13,1,1,1
12126,2012/10/27,21,14,28,13,29,13,14,21,28,29,5,10,105,21,25,3,2,1,0,0,3,2,1,5,2,2,2,16,7,1,1,2
12127,2012/10/29,13,12,35,14,25,12,13,14,25,35,10,12,99,19.8,19,3,2,1,1,0,2,3,-1,4,5,2,1,23,11,0,2,3
12128,2012/10/31,30,31,19,9,10,9,10,19,30,31,4,11,99,19.8,19,3,2,1,0,0,3,2,1,3,4,2,2,22,11,0,0,0
12129,2012/11/3,1,28,31,21,7,1,7,21,28,31,3,9,88,17.6,18,4,1,3,2,0,3,2,1,3,6,0,0,30,14,1,1,1
12130,2012/11/5,14,23,29,19,30,14,19,23,29,30,6,7,115,23,25,3,2,1,2,0,4,1,3,4,6,1,1,16,6,0,0,2
12131,2012/11/7,30,16,18,2,27,2,16,18,27,30,8,12,93,18.6,23,1,4,-3,0,2,3,2,1,5,5,0,0,28,14,1,1,2
12132,2012/11/10,33,8,21,25,5,5,8,21,25,33,1,11,92,18.4,22,4,1,3,2,0,3,2,1,4,6,0,0,28,13,0,0,0
12133,2012/11/12,29,30,7,13,5,5,7,13,29,30,1,5,84,16.8,24,4,1,3,3,0,2,3,-1,5,6,1,1,25,16,1,1,1
12134,2012/11/14,6,18,35,32,1,1,6,18,32,35,2,7,92,18.4,22,2,3,-1,0,2,3,2,1,5,5,0,0,34,14,0,0,1
12135,2012/11/17,17,33,5,3,18,3,5,17,18,33,6,7,76,15.2,26,4,1,3,2,0,2,3,-1,4,5,1,1,30,15,0,1,3
12136,2012/11/19,23,2,31,29,30,2,23,29,30,31,1,4,115,23,15,3,2,1,1,0,4,1,3,5,5,2,1,29,21,0,0,1
12137,2012/11/21,3,12,21,20,27,3,12,20,21,27,1,6,83,16.6,13,3,2,1,1,1,3,2,1,5,5,1,1,24,9,0,0,1
12138,2012/11/24,17,31,13,27,33,13,17,27,31,33,6,12,121,24.2,21,5,0,5,4,0,3,2,1,3,4,0,0,20,10,0,1,1
12139,2012/11/26,10,9,22,25,12,9,10,12,22,25,4,11,78,15.6,18,2,3,-1,0,2,2,3,-1,4,4,1,1,16,10,0,0,1
12140,2012/11/28,28,29,27,7,17,7,17,27,28,29,9,10,108,21.6,38,4,1,3,2,0,3,2,1,3,4,2,1,22,10,0,0,0
12141,2012/12/1,23,34,3,19,11,3,11,19,23,34,2,12,90,18,20,4,1,3,3,0,3,2,1,4,5,0,0,31,11,0,0,0
12142,2012/12/3,15,19,35,29,34,15,19,29,34,35,7,10,132,26.4,32,4,1,3,2,0,4,1,3,3,6,1,1,20,10,0,2,1
12143,2012/12/5,9,27,29,31,30,9,27,29,30,31,3,6,126,25.2,26,4,1,3,2,0,4,1,3,4,4,2,1,22,18,1,1,1
12144,2012/12/8,29,21,14,13,11,11,13,14,21,29,1,10,88,17.6,18,4,1,3,2,0,2,3,-1,4,5,1,1,18,8,0,1,1
12145,2012/12/10,31,22,35,5,33,5,22,31,33,35,6,9,126,25.2,16,4,1,3,2,0,4,1,3,4,5,0,0,30,17,0,0,1
12146,2012/12/12,17,10,1,26,13,1,10,13,17,26,6,8,67,13.4,17,3,2,1,1,0,1,4,-3,5,4,0,0,25,9,0,0,0
12147,2012/12/15,33,3,17,19,2,2,3,17,19,33,2,9,74,14.8,24,4,1,3,3,0,2,3,-1,4,4,1,1,31,14,0,1,1
12148,2012/12/17,16,29,4,27,34,4,16,27,29,34,6,11,110,22,30,2,3,-1,1,1,3,2,1,4,6,0,0,30,12,0,0,3
12149,2012/12/19,33,2,34,23,10,2,10,23,33,34,5,10,102,20.4,12,2,3,-1,1,1,3,2,1,4,6,1,1,32,13,1,1,1
12150,2012/12/22,31,14,2,18,24,2,14,18,24,31,2,3,89,17.8,19,1,4,-3,0,3,3,2,1,4,6,0,0,29,12,1,1,1
12151,2012/12/24,3,19,33,20,24,3,19,20,24,33,3,4,99,19.8,19,3,2,1,1,1,4,1,3,4,6,1,1,30,16,1,1,2
12152,2012/12/26,4,34,33,17,26,4,17,26,33,34,2,8,114,22.8,24,2,3,-1,0,0,3,2,1,4,6,1,1,30,13,0,1,2
12153,2012/12/29,22,13,10,8,9,8,9,10,13,22,5,10,62,12.4,22,2,3,-1,0,0,1,4,-3,5,5,2,1,14,9,0,0,0
12154,2012/12/31,31,27,3,26,32,3,26,27,31,32,3,9,119,23.8,19,3,2,1,1,0,4,1,3,5,4,2,2,29,23,0,0,0
13001,2013/1/2,11,32,31,6,9,6,9,11,31,32,5,11,89,17.8,19,3,2,1,2,0,2,3,-1,4,6,1,1,26,20,2,2,2
13002,2013/1/5,32,20,31,4,27,4,20,27,31,32,6,12,114,22.8,14,2,3,-1,1,1,4,1,3,5,6,1,1,28,16,2,2,2
13003,2013/1/7,18,16,31,1,21,1,16,18,21,31,9,12,87,17.4,17,3,2,1,1,1,3,2,1,3,5,0,0,30,15,0,1,2
13004,2013/1/9,8,7,20,25,12,7,8,12,20,25,3,7,72,14.4,22,2,3,-1,0,2,2,3,-1,5,4,1,1,18,8,0,0,1
13005,2013/1/12,26,22,18,28,31,18,22,26,28,31,10,12,125,25,25,1,4,-3,0,3,5,0,5,4,5,0,0,13,4,0,0,1
13006,2013/1/14,31,20,25,32,8,8,20,25,31,32,5,7,116,23.2,16,2,3,-1,1,1,4,1,3,5,5,1,1,24,12,0,1,2
13007,2013/1/16,29,14,33,34,32,14,29,32,33,34,3,6,142,28.4,22,2,3,-1,0,0,4,1,3,4,5,2,1,20,15,0,1,2
13008,2013/1/19,29,2,25,34,7,2,7,25,29,34,3,6,97,19.4,27,3,2,1,2,0,3,2,1,5,4,0,0,32,18,1,2,1
13009,2013/1/21,19,29,27,10,17,10,17,19,27,29,5,12,102,20.4,32,4,1,3,3,0,3,2,1,3,4,0,0,19,8,0,1,0
13010,2013/1/23,9,29,18,17,15,9,15,17,18,29,9,11,88,17.6,38,4,1,3,2,0,2,3,-1,4,6,1,1,20,11,1,2,2
13011,2013/1/26,1,2,23,8,15,1,2,8,15,23,6,9,49,9.8,19,3,2,1,1,1,1,4,-3,5,5,1,1,22,8,0,1,1
13012,2013/1/28,31,32,34,14,1,1,14,31,32,34,2,11,112,22.4,12,2,3,-1,0,1,3,2,1,3,6,1,1,33,17,1,1,2
13013,2013/1/30,13,15,35,29,30,13,15,29,30,35,1,11,122,24.4,22,4,1,3,2,0,3,2,1,4,6,1,1,22,14,0,0,4
13014,2013/2/2,5,31,29,25,8,5,8,25,29,31,2,4,98,19.6,28,4,1,3,2,0,3,2,1,4,6,0,0,26,17,0,1,2
13015,2013/2/4,26,33,14,15,32,14,15,26,32,33,1,11,120,24,20,2,3,-1,0,1,3,2,1,5,4,2,2,19,11,0,0,2
13016,2013/2/6,32,27,19,5,15,5,15,19,27,32,8,9,98,19.6,28,4,1,3,3,0,3,2,1,4,6,0,0,27,10,1,2,3
13017,2013/2/16,14,29,22,11,34,11,14,22,29,34,5,11,110,22,20,2,3,-1,0,1,3,2,1,4,6,0,0,23,8,0,0,1
13018,2013/2/18,23,33,34,31,20,20,23,31,33,34,3,9,141,28.2,11,3,2,1,2,0,5,0,5,4,4,1,1,14,8,1,1,2
13019,2013/2/20,29,17,6,30,12,6,12,17,29,30,7,11,94,18.8,24,2,3,-1,1,1,2,3,-1,5,6,1,1,24,12,0,0,1
13020,2013/2/23,32,11,31,20,6,6,11,20,31,32,5,9,100,20,10,2,3,-1,0,0,3,2,1,4,6,1,1,26,11,1,1,2
13021,2013/2/25,24,23,30,28,33,23,24,28,30,33,1,11,138,27.6,18,2,3,-1,0,2,5,0,5,4,5,1,1,10,4,0,0,2
13022,2013/2/27,13,4,3,17,23,3,4,13,17,23,3,8,60,12,20,4,1,3,2,0,1,4,-3,3,5,1,1,20,9,0,1,1
13023,2013/3/2,35,19,5,26,24,5,19,24,26,35,5,7,109,21.8,29,3,2,1,1,1,4,1,3,4,6,0,0,30,14,0,0,2
13024,2013/3/4,14,18,9,12,24,9,12,14,18,24,1,4,77,15.4,27,1,4,-3,0,3,2,3,-1,4,5,0,0,15,6,0,1,1
13025,2013/3/6,25,28,3,26,23,3,23,25,26,28,10,12,105,21,25,3,2,1,2,1,4,1,3,4,4,1,1,25,20,0,0,2
13026,2013/3/9,2,10,30,33,16,2,10,16,30,33,5,6,91,18.2,11,1,4,-3,0,3,2,3,-1,4,5,0,0,31,14,0,0,1
13027,2013/3/11,24,14,12,35,3,3,12,14,24,35,3,8,88,17.6,18,2,3,-1,0,2,2,3,-1,4,4,0,0,32,11,0,0,1
13028,2013/3/13,13,19,28,30,34,13,19,28,30,34,8,12,124,24.8,24,2,3,-1,1,2,4,1,3,5,4,0,0,21,9,0,0,2
13029,2013/3/16,17,26,7,5,25,5,7,17,25,26,4,10,80,16,30,4,1,3,3,0,2,3,-1,3,6,1,1,21,10,0,0,0
13030,2013/3/18,5,28,9,10,3,3,5,9,10,28,5,7,55,11,25,3,2,1,2,1,1,4,-3,5,6,1,1,25,18,0,1,0
13031,2013/3/20,17,32,26,18,12,12,17,18,26,32,10,11,105,21,25,1,4,-3,0,2,3,2,1,4,4,1,1,20,8,0,0,0
13032,2013/3/23,35,27,33,28,12,12,27,28,33,35,1,8,135,27,25,3,2,1,1,0,4,1,3,5,6,1,1,23,15,1,1,2
13033,2013/3/25,22,18,12,28,31,12,18,22,28,31,1,11,111,22.2,21,1,4,-3,0,3,4,1,3,3,4,0,0,19,6,1,2,1
13034,2013/3/27,3,29,19,1,11,1,3,11,19,29,4,8,63,12.6,23,5,0,5,4,0,2,3,-1,3,3,0,0,28,10,0,0,3
13035,2013/3/30,5,14,34,28,32,5,14,28,32,34,7,8,113,22.6,23,1,4,-3,0,3,3,2,1,4,6,0,0,29,14,0,0,1
13036,2013/4/1,8,35,33,32,12,8,12,32,33,35,3,5,120,24,20,2,3,-1,1,2,3,2,1,4,6,1,1,27,20,0,1,2
13037,2013/4/3,34,26,31,2,32,2,26,31,32,34,6,8,125,25,15,1,4,-3,0,2,4,1,3,4,6,1,1,32,24,0,1,3
13038,2013/4/6,25,26,1,19,24,1,19,24,25,26,7,9,95,19,25,3,2,1,1,0,4,1,3,5,5,2,1,25,18,0,1,2
13039,2013/4/8,23,30,33,6,35,6,23,30,33,35,7,10,127,25.4,17,3,2,1,1,0,4,1,3,4,6,0,0,29,17,0,0,1
13040,2013/4/10,22,26,17,16,35,16,17,22,26,35,3,10,116,23.2,26,2,3,-1,0,1,3,2,1,4,5,1,1,19,9,1,1,1
13041,2013/4/13,13,3,14,34,15,3,13,14,15,34,5,8,79,15.8,19,3,2,1,1,0,1,4,-3,3,5,2,1,31,19,0,0,2
13042,2013/4/15,6,23,22,2,33,2,6,22,23,33,1,6,86,17.2,16,2,3,-1,1,2,3,2,1,3,6,1,1,31,16,0,0,2
13043,2013/4/17,35,13,34,7,25,7,13,25,34,35,7,9,114,22.8,24,4,1,3,2,0,3,2,1,4,6,1,1,28,12,0,0,2
13044,2013/4/20,18,7,28,11,13,7,11,13,18,28,5,10,77,15.4,27,3,2,1,2,1,2,3,-1,4,6,0,0,21,10,1,2,0
13045,2013/4/22,8,12,21,11,25,8,11,12,21,25,2,7,77,15.4,17,3,2,1,1,0,2,3,-1,4,4,1,1,17,9,1,1,2
13046,2013/4/24,32,15,19,16,25,15,16,19,25,32,5,11,107,21.4,27,3,2,1,1,0,3,2,1,4,6,1,1,17,7,0,1,0
13047,2013/4/27,20,12,28,35,30,12,20,28,30,35,3,11,125,25,15,1,4,-3,0,3,4,1,3,4,5,0,0,23,8,0,0,1
13048,2013/4/29,32,23,11,10,33,10,11,23,32,33,1,4,109,21.8,9,3,2,1,1,0,3,2,1,4,4,2,2,23,12,0,0,1
13049,2013/5/1,18,31,25,32,22,18,22,25,31,32,4,6,128,25.6,18,2,3,-1,1,1,5,0,5,4,5,1,1,14,6,0,1,3
13050,2013/5/4,33,22,14,30,32,14,22,30,32,33,7,8,131,26.2,11,1,4,-3,0,3,4,1,3,4,5,1,1,19,8,1,2,3
13051,2013/5/6,5,18,33,15,8,5,8,15,18,33,7,8,79,15.8,29,3,2,1,0,0,2,3,-1,3,4,0,0,28,15,1,1,2
13052,2013/5/8,2,10,1,31,29,1,2,10,29,31,1,10,73,14.6,13,3,2,1,1,1,2,3,-1,4,6,1,1,30,19,0,0,0
13053,2013/5/11,31,33,34,13,35,13,31,33,34,35,5,7,146,29.2,16,4,1,3,2,0,4,1,3,4,4,2,1,22,18,0,1,0
13054,2013/5/13,8,30,21,5,32,5,8,21,30,32,1,8,96,19.2,16,2,3,-1,0,1,3,2,1,5,6,0,0,27,13,0,0,2
13055,2013/5/15,22,24,4,5,23,4,5,22,23,24,3,9,78,15.6,18,2,3,-1,0,0,3,2,1,4,2,3,2,20,17,0,1,2
13056,2013/5/18,35,30,32,11,22,11,22,30,32,35,3,4,130,26,10,2,3,-1,0,2,4,1,3,4,6,0,0,24,11,0,1,1
13057,2013/5/20,35,27,33,7,15,7,15,27,33,35,7,10,117,23.4,27,5,0,5,4,0,3,2,1,3,4,0,0,28,12,1,1,1
13058,2013/5/22,20,21,27,31,35,20,21,27,31,35,7,11,134,26.8,14,4,1,3,3,0,5,0,5,4,5,1,1,15,6,2,2,0
13059,2013/5/25,24,3,8,27,11,3,8,11,24,27,7,12,73,14.6,23,3,2,1,0,0,2,3,-1,5,4,0,0,24,13,0,1,0
13060,2013/5/27,25,15,32,26,35,15,25,26,32,35,5,10,133,26.6,23,3,2,1,1,1,4,1,3,3,5,1,1,20,10,0,0,2
13061,2013/5/29,21,14,32,1,18,1,14,18,21,32,5,10,86,17.2,16,2,3,-1,0,1,3,2,1,4,6,0,0,31,13,0,1,1
13062,2013/6/1,8,1,5,9,12,1,5,8,9,12,9,12,35,7,25,3,2,1,1,0,0,5,-5,5,2,1,1,11,4,1,1,0
13063,2013/6/3,3,5,11,27,28,3,5,11,27,28,5,6,74,14.8,24,4,1,3,3,0,2,3,-1,5,6,1,1,25,16,1,1,1
13064,2013/6/5,26,24,21,32,28,21,24,26,28,32,1,3,131,26.2,21,1,4,-3,0,3,5,0,5,5,4,0,0,11,4,0,1,2
13065,2013/6/8,9,31,28,34,35,9,28,31,34,35,2,9,137,27.4,27,3,2,1,0,0,4,1,3,5,5,1,1,26,19,0,1,1
13066,2013/6/10,34,13,7,33,6,6,7,13,33,34,2,11,93,18.6,23,3,2,1,2,0,2,3,-1,4,4,2,2,28,20,0,1,2
13067,2013/6/12,2,8,3,5,29,2,3,5,8,29,10,12,47,9.4,27,3,2,1,1,0,1,4,-3,5,5,1,1,27,21,0,0,2
13068,2013/6/15,27,10,17,34,35,10,17,27,34,35,5,7,123,24.6,23,3,2,1,1,0,3,2,1,4,4,1,1,25,10,0,0,0
13069,2013/6/17,16,30,13,6,12,6,12,13,16,30,7,12,77,15.4,17,1,4,-3,0,2,1,4,-3,4,6,1,1,24,14,0,0,1
13070,2013/6/19,9,18,29,21,12,9,12,18,21,29,1,8,89,17.8,29,3,2,1,1,1,3,2,1,4,4,0,0,20,8,1,1,2
13071,2013/6/22,26,28,19,27,13,13,19,26,27,28,3,11,113,22.6,33,3,2,1,1,0,4,1,3,5,5,2,1,15,7,0,0,3
13072,2013/6/24,12,35,27,33,28,12,27,28,33,35,3,5,135,27,25,3,2,1,1,0,4,1,3,5,6,1,1,23,15,0,2,3
13073,2013/6/26,3,27,31,5,23,3,5,23,27,31,2,6,89,17.8,19,5,0,5,4,0,3,2,1,4,5,0,0,28,18,0,1,1
13074,2013/6/29,32,24,6,14,20,6,14,20,24,32,1,7,96,19.2,16,0,5,-5,0,4,3,2,1,4,4,0,0,26,8,0,0,3
13075,2013/7/1,35,13,11,19,1,1,11,13,19,35,7,8,79,15.8,19,5,0,5,4,0,2,3,-1,4,6,0,0,34,16,0,0,2
13076,2013/7/3,16,26,27,15,13,13,15,16,26,27,9,10,97,19.4,27,3,2,1,1,1,2,3,-1,4,4,2,2,14,10,0,1,0
13077,2013/7/6,30,32,24,35,26,24,26,30,32,35,6,12,147,29.4,17,1,4,-3,0,3,5,0,5,5,4,0,0,11,4,0,1,1
13078,2013/7/8,7,31,33,2,23,2,7,23,31,33,2,8,96,19.2,16,4,1,3,3,0,3,2,1,4,6,0,0,31,16,0,0,3
13079,2013/7/10,17,21,10,9,34,9,10,17,21,34,1,7,91,18.2,21,3,2,1,1,0,2,3,-1,5,6,1,1,25,13,0,0,1
13080,2013/7/13,23,27,31,21,6,6,21,23,27,31,4,6,108,21.6,18,4,1,3,3,0,4,1,3,4,5,0,0,25,15,0,1,0
